x_coordinate,y_coordinate,Cell_Type,TCN_Label
18171.230469,24590.794922,NULL,8
19838.080078,6456.144531,NULL,4
11247.433594,36626.890625,NULL,1
19253.230469,7389.731445,NULL,4
19612.527344,10793.160156,NULL,4
18374.294922,26286.857422,NULL,8
18132.019531,2115.037109,NULL,4
4197.789062,39465.355469,NULL,11
20452.072266,6184.980957,NULL,4
3757.866455,46281.167969,NULL,6
19865.623047,8311.172852,NULL,4
18185.351562,2875.964355,NULL,4
20162.849609,10008.258789,NULL,4
19770.333984,7493.368652,NULL,4
2693.989502,32856.085938,NULL,3
12253.116211,20071.134766,NULL,6
13784.118164,32426.464844,NULL,5
19527.755859,6218.570801,NULL,4
19648.705078,15436.106445,NULL,10
19862.853516,9628.272461,NULL,4
1359.3573,36330.042969,NULL,3
8659.303711,35851.496094,NULL,5
10190.951172,30338.134766,NULL,3
14032.213867,28694.632812,NULL,8
5298.84375,36870.726562,NULL,3
19340.587891,7511.058105,NULL,4
14993.788086,30330.203125,NULL,5
8909.125,43113.535156,NULL,9
19717.802734,6387.987305,NULL,4
2858.607178,44533.296875,NULL,6
20432.177734,9290.213867,NULL,4
693.237854,35159.140625,NULL,3
5280.604492,36870.195312,NULL,3
19085.964844,27355.824219,NULL,5
11204.079102,40474.382812,NULL,1
19350.898438,9761.881836,NULL,4
13106.237305,20447.455078,NULL,6
12959.750977,28200.171875,NULL,8
19145.40625,11503.702148,NULL,4
4284.538574,41108.644531,NULL,11
13987.632812,36954.246094,NULL,1
2276.580566,45376.191406,NULL,6
19584.992188,6383.097168,NULL,4
19600.275391,7779.645996,NULL,4
14078.665039,20070.03125,NULL,10
6898.498535,37144.871094,NULL,5
12681.794922,29283.869141,NULL,8
18527.742188,24763.673828,NULL,8
19673.886719,9450.066406,NULL,4
7699.199707,43542.003906,NULL,9
9629.835938,32022.142578,NULL,3
15135.166016,12878.325195,NULL,2
19618.332031,9121.472656,NULL,4
19997.607422,9890.234375,NULL,4
19076.4375,8711.977539,NULL,4
9921.757812,41871.007812,NULL,9
17883.451172,39286.304688,NULL,1
16436.380859,28542.064453,NULL,5
14537.885742,37777.105469,NULL,1
6437.620605,45215.097656,NULL,9
8667.989258,35860.996094,NULL,5
13592.798828,32650.369141,NULL,5
17911.666016,29505.960938,NULL,5
12959.750977,28200.171875,NULL,8
19226.197266,6821.618164,NULL,4
1355.373291,36097.730469,NULL,3
18460.585938,7924.181152,NULL,4
2342.539062,38931.160156,NULL,11
10716.990234,43654.132812,NULL,9
3518.929199,45751.398438,NULL,6
2783.417725,46250.800781,NULL,6
19659.796875,7962.253418,NULL,4
8009.143555,40652.226562,NULL,11
19538.685547,10010.494141,NULL,4
12824.213867,1349.511597,NULL,2
10241.322266,30568.660156,NULL,3
20575.796875,36862.570312,NULL,1
3551.948975,33796.722656,NULL,3
5002.108398,38313.703125,NULL,11
5950.140137,30493.279297,NULL,4
4503.353516,40929.59375,NULL,11
20310.291016,7655.411621,NULL,4
19448.462891,8294.509766,NULL,4
18452.835938,24291.796875,NULL,8
18386.683594,24722.689453,NULL,8
11851.830078,43454.390625,NULL,9
1335.529907,36207.460938,NULL,3
18996.976562,38691.632812,NULL,1
15492.741211,11871.764648,NULL,2
6703.529785,27688.847656,NULL,6
13106.237305,20447.455078,NULL,6
713.274048,36019.113281,NULL,3
2430.193848,45660.765625,NULL,6
20022.935547,9366.701172,NULL,4
20275.917969,9768.025391,NULL,4
19882.552734,6004.248047,NULL,4
713.274048,36019.113281,NULL,3
15936.396484,28541.919922,NULL,5
1359.503906,40071.070312,NULL,11
12832.135742,13389.449219,NULL,2
19228.191406,7636.378906,NULL,4
9280.056641,42805.496094,NULL,9
5002.108398,38313.703125,NULL,11
6893.049805,31963.34375,NULL,3
18213.785156,2078.751709,NULL,4
4592.151367,34199.652344,NULL,3
6057.637207,32693.976562,NULL,3
6721.871582,36074.109375,NULL,5
12942.833984,38886.109375,NULL,1
18370.9375,7266.516602,NULL,4
19542.517578,9308.741211,NULL,4
13252.637695,31563.875,NULL,5
1876.456665,36775.746094,NULL,3
19672.306641,7355.952637,NULL,4
1496.266846,37761.933594,NULL,3
19555.535156,5931.058105,NULL,4
20038.490234,9072.821289,NULL,4
33.126083,35980.398438,NULL,3
19919.322266,8767.723633,NULL,4
2074.549072,34267.695312,NULL,3
20119.642578,9696.911133,NULL,4
14342.003906,27532.929688,NULL,8
0.0,35517.632812,NULL,3
4082.447754,41511.015625,NULL,11
19342.501953,10949.52832,NULL,4
19811.113281,8519.775391,NULL,4
1005.468933,44609.621094,NULL,6
1005.468933,44609.621094,NULL,6
9945.458008,38609.496094,NULL,1
10250.759766,31080.65625,NULL,3
19629.732422,8809.762695,NULL,4
15605.380859,29312.863281,NULL,5
5793.366211,31554.095703,NULL,4
18921.941406,6466.847168,NULL,4
19402.302734,10034.364258,NULL,4
16622.707031,28840.742188,NULL,5
17354.087891,22968.226562,NULL,10
20199.111328,8427.789062,NULL,4
20204.853516,6197.47998,NULL,4
12499.736328,37853.359375,NULL,11
13681.238281,30562.449219,NULL,5
12358.726562,33802.632812,NULL,5
20201.595703,9179.310547,NULL,4
3823.790283,45174.425781,NULL,6
11423.317383,28857.232422,NULL,8
20054.261719,10376.164062,NULL,4
17566.224609,25440.638672,NULL,8
10956.4375,30242.675781,NULL,3
19067.917969,8276.796875,NULL,4
