x_coordinate,y_coordinate,Cell_Type,TCN_Label
-3033.401378,2825.155877,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-3027.328655,2955.936449,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-3020.512953,2961.69671,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-3017.39749,2995.915801,199 PAG-MRN-RN Foxa2 Gaba,3
-3005.478613,2877.528929,173 PAG Pou4f2 Glut,3
-3005.369837,2898.384629,173 PAG Pou4f2 Glut,3
-3001.59398,2965.246678,199 PAG-MRN-RN Foxa2 Gaba,3
-2997.368589,3005.247841,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2967.167501,2893.509822,199 PAG-MRN-RN Foxa2 Gaba,3
-2963.181131,2927.496482,199 PAG-MRN-RN Foxa2 Gaba,3
-2954.604508,2873.521193,049 Lamp5 Gaba,3
-2952.704249,2982.099518,196 PAG-PPN Pax5 Sox21 Gaba,3
-2948.588648,2835.768383,049 Lamp5 Gaba,3
-2948.194435,2958.610211,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2942.627079,2897.049788,073 MEA-BST Sox6 Gaba,3
-2940.860859,3005.644272,196 PAG-PPN Pax5 Sox21 Gaba,3
-2931.942849,2961.365834,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2921.95643,2956.178779,199 PAG-MRN-RN Foxa2 Gaba,3
-2915.35803,2822.560962,196 PAG-PPN Pax5 Sox21 Gaba,3
-2910.433757,2980.22121,199 PAG-MRN-RN Foxa2 Gaba,3
-2907.439113,2825.46278,196 PAG-PPN Pax5 Sox21 Gaba,3
-2903.023982,2930.989681,199 PAG-MRN-RN Foxa2 Gaba,3
-2898.297725,2822.887076,088 BST Tac2 Gaba,3
-2897.57708,2875.669847,300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,3
-2897.59408,2865.04798,073 MEA-BST Sox6 Gaba,3
-2883.190059,2958.59815,073 MEA-BST Sox6 Gaba,3
-2874.011299,2836.289009,196 PAG-PPN Pax5 Sox21 Gaba,3
-2869.656103,2948.229483,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2868.024391,2874.880139,131 LHA-AHN-PVH Otp Trh Glut,3
-2858.828365,2960.356747,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2856.201415,2827.69063,199 PAG-MRN-RN Foxa2 Gaba,3
-3025.728593,2869.580376,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-3011.709752,2883.921038,199 PAG-MRN-RN Foxa2 Gaba,3
-2957.612189,3005.603102,199 PAG-MRN-RN Foxa2 Gaba,3
-2955.783772,2951.577727,199 PAG-MRN-RN Foxa2 Gaba,3
-2923.05209,2946.776472,199 PAG-MRN-RN Foxa2 Gaba,3
-2923.353082,2844.720966,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2896.385814,2907.262859,199 PAG-MRN-RN Foxa2 Gaba,3
-2866.094653,2825.983557,199 PAG-MRN-RN Foxa2 Gaba,3
-2867.467494,2900.166024,073 MEA-BST Sox6 Gaba,3
-2942.638647,2904.359276,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2891.24141,2843.552431,049 Lamp5 Gaba,3
-2953.925858,2965.755479,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2877.153651,2943.845568,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2857.851113,2986.599484,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2981.622557,2839.584483,073 MEA-BST Sox6 Gaba,3
-2937.548946,2940.608981,199 PAG-MRN-RN Foxa2 Gaba,3
-2911.07609,2949.348447,199 PAG-MRN-RN Foxa2 Gaba,3
