x_coordinate,y_coordinate,Cell_Type,TCN_Label
18171.230469,24590.794922,285 MY Lhx1 Gly-Gaba,7
19838.080078,6456.144531,285 MY Lhx1 Gly-Gaba,2
11247.433594,36626.890625,285 MY Lhx1 Gly-Gaba,9
19253.230469,7389.731445,285 MY Lhx1 Gly-Gaba,2
19612.527344,10793.160156,285 MY Lhx1 Gly-Gaba,2
18374.294922,26286.857422,285 MY Lhx1 Gly-Gaba,7
18132.019531,2115.037109,285 MY Lhx1 Gly-Gaba,1
4197.789062,39465.355469,285 MY Lhx1 Gly-Gaba,9
20452.072266,6184.980957,285 MY Lhx1 Gly-Gaba,2
3757.866455,46281.167969,285 MY Lhx1 Gly-Gaba,8
19865.623047,8311.172852,285 MY Lhx1 Gly-Gaba,2
18185.351562,2875.964355,285 MY Lhx1 Gly-Gaba,1
20162.849609,10008.258789,285 MY Lhx1 Gly-Gaba,2
19770.333984,7493.368652,285 MY Lhx1 Gly-Gaba,2
2693.989502,32856.085938,285 MY Lhx1 Gly-Gaba,1
12253.116211,20071.134766,285 MY Lhx1 Gly-Gaba,11
13784.118164,32426.464844,285 MY Lhx1 Gly-Gaba,10
19527.755859,6218.570801,285 MY Lhx1 Gly-Gaba,2
19648.705078,15436.106445,285 MY Lhx1 Gly-Gaba,1
19862.853516,9628.272461,285 MY Lhx1 Gly-Gaba,2
1359.3573,36330.042969,285 MY Lhx1 Gly-Gaba,3
8659.303711,35851.496094,285 MY Lhx1 Gly-Gaba,5
10190.951172,30338.134766,285 MY Lhx1 Gly-Gaba,2
14032.213867,28694.632812,285 MY Lhx1 Gly-Gaba,7
5298.84375,36870.726562,285 MY Lhx1 Gly-Gaba,4
19340.587891,7511.058105,285 MY Lhx1 Gly-Gaba,2
14993.788086,30330.203125,285 MY Lhx1 Gly-Gaba,7
8909.125,43113.535156,285 MY Lhx1 Gly-Gaba,8
19717.802734,6387.987305,285 MY Lhx1 Gly-Gaba,2
2858.607178,44533.296875,285 MY Lhx1 Gly-Gaba,1
20432.177734,9290.213867,285 MY Lhx1 Gly-Gaba,2
693.237854,35159.140625,285 MY Lhx1 Gly-Gaba,5
5280.604492,36870.195312,285 MY Lhx1 Gly-Gaba,4
19085.964844,27355.824219,285 MY Lhx1 Gly-Gaba,7
11204.079102,40474.382812,285 MY Lhx1 Gly-Gaba,5
19350.898438,9761.881836,285 MY Lhx1 Gly-Gaba,2
13106.237305,20447.455078,285 MY Lhx1 Gly-Gaba,11
12959.750977,28200.171875,285 MY Lhx1 Gly-Gaba,2
